Time_number,Date,Agric,Food ,FabPr,Mach ,ElcEq,Autos,Guns ,Gold ,Mines,Coal 
43,29/08/1963,0.004987542,0.004390348,-0.012578782,0.00039992,0.008662373,0.009950331,0.011038847,0.003693172,0.004290781,-0.003205131
44,30/08/1963,0.006578315,0.00249688,0.024887716,0.002596626,0.009554213,0.004390348,-0.004309272,0.003194891,0.003294567,-0.00020002
45,03/09/1963,0.007273484,-0.002302649,-0.003305457,0.00019998,-0.002402885,0.000699755,0.010049336,-0.005012542,0.003892415,-0.00793137
46,04/09/1963,-0.009141658,0.002097798,0.014494446,0.0009995,0.003792798,0.004390348,-0.016231013,0.00548493,0.00079968,-0.002603386
47,05/09/1963,0.000899595,-0.002202424,-0.005917474,-0.002402885,-0.000300045,0.002197584,0.000499875,-0.001801622,-0.001601281,0.00608147
48,06/09/1963,-0.009848336,-0.00040008,-0.004309272,-0.004610613,-0.013794711,-0.002202424,-0.002202424,-0.002002003,0.000899595,0.005882663
49,09/09/1963,-0.018469516,0.004489905,0.003892415,0.001998003,0.003194891,0.021761492,0.01557803,0.005286004,0.011434378,0.002297359
50,10/09/1963,0.003394233,0.003394233,0.002796087,-0.000300045,0.016463726,0.006379607,-0.00020002,0.007273484,0.001498876,0.005584378
51,11/09/1963,0.00796817,0.000699755,-0.001901807,-0.001601281,0.005882663,-0.004912044,-0.012781334,0.003394233,0.00079968,-0.001701447
52,12/09/1963,0.007571265,0.002796087,-0.004610613,0.003493889,0.013212331,-0.005515181,-0.01136433,-0.00250313,-0.00471108,-0.008738066
53,13/09/1963,-0.000700245,-0.00060018,-0.007830579,-0.003807238,0.001498876,0.003493889,-0.012275031,-0.001901807,9.9995E-05,0.002297359
54,16/09/1963,0.00548493,0.002895803,0.005087039,0.0009995,-0.003305457,0.002895803,0.008662373,-0.007226045,0.004390348,-0.002202424
55,17/09/1963,-0.007326775,-0.004409708,-0.01349059,-0.006923915,-0.011870173,-0.006319929,-0.020917248,-0.002904213,-0.004409708,-0.016637641
56,18/09/1963,-0.008233805,0.004987542,-0.012781334,0.003593536,0.006180859,0.010148331,0.008166563,0.003593536,0.004688989,-0.006420568
57,19/09/1963,0.004987542,-0.001100605,0.007868958,0.001898197,-0.001200721,0.010544214,0.002796087,-0.005414633,0.010445258,0.005385472
58,20/09/1963,-0.004008021,-0.005816885,-0.011768984,-0.004409708,-0.008939842,-0.009242581,-0.017247893,-0.00040008,-0.006923915,-0.011162065
59,23/09/1963,-0.002904213,-0.00060018,-0.005917474,-0.00020002,0.004589452,0.0009995,-0.007830579,0.000699755,-0.005716307,-0.003205131
60,24/09/1963,-0.001100605,-0.005213567,-0.0010005,-0.008435479,-0.022347864,-0.003405793,-0.016841017,-0.005113049,-0.007024615,-0.00040008
61,25/09/1963,-0.002904213,-0.009242581,0.004589452,-0.006621876,-0.012376271,-0.01959065,0.002895803,-0.005816885,-0.007427516,-0.003907625
62,26/09/1963,0.003394233,-0.002803927,-0.002703652,0.00079968,0.002895803,-0.002102208,0.008265744,-0.007629027,-0.007830579,0.00608147
63,27/09/1963,-0.002402885,-0.004610613,-0.009141658,-0.003405793,-0.008637193,-0.010757657,0.003792798,-0.008939842,-0.000300045,-0.019386714
64,30/09/1963,0.00608147,0.004589452,0.01350835,0.002895803,0.008761506,0.017348638,0.005783245,-0.03573081,0.008464078,0.01133551
65,01/10/1963,-0.005314095,0.000299955,-0.008233805,0.001598721,0.001998003,0.008364916,0.015479571,0.03411153,-0.001100605,0.001998003
66,02/10/1963,0.005882663,0.006478966,0.00548493,0.012521281,0.015873349,0.009356095,0.00249688,0.001099395,0.005584378,0.014198719
67,03/10/1963,0.002097798,-0.00020002,0.004888034,0.002097798,-0.003907625,-0.001200721,-0.006018072,-0.005917474,0.009455159,-0.003405793
